,xg_home_rolling_3,xg_away_rolling_3,elo_home_rolling_3,elo_away_rolling_3,elo_rolling_diff,xg_rolling_diff,goal_ratio_diff,ga_per_xGA_diff,gf_per_xG_diff,elo_diff_x_xg_diff,elo_diff_sq,goal_ratio_home_rolling_1,goal_ratio_away_rolling_1
33,2.5666667,0.8666667,1675.848348,1585.0325928,90.8157552,1.7,1.5833333,-1.3927739,-0.0604396,154.3867838,8247.5013865,4.0,0.25
34,1.2666667,0.9333333,1711.1670329,1544.7525228,166.4145101,0.3333333,0.7777778,-0.1601732,0.3793184,55.4715034,27693.7891718,2.0,0.6666667
35,1.4666667,1.2333333,1737.9564616,1695.478068,42.4783936,0.2333333,0.1388889,-0.0731215,0.0128205,9.9116252,1804.41392,1.5,1.0
36,2.0666667,1.3666667,1730.4062907,1741.292277,-10.8859863,0.7,-1.5,0.9681611,-0.6964479,-7.6201904,118.5046984,1.0,1.0
37,1.1,1.6666667,1691.8097331,1614.8930257,76.9167074,-0.5666667,-2.0833333,0.9091473,-0.5925926,-43.5861342,5916.1798721,1.0,2.0
38,0.6,1.1,1536.6846924,1623.9415283,-87.256836,-0.5,-0.6666667,-0.3941799,-2.500419,43.628418,7613.7554229,0.5,1.0
39,1.3333333,1.6666667,1598.1989339,1615.6795247,-17.4805908,-0.3333333,-0.2777778,-0.2090336,0.1098585,5.8268636,305.5710559,0.5,1.5
40,1.8333333,1.1666667,1805.5511068,1709.5745443,95.9765625,0.6666667,0.1666667,0.0214947,0.0743115,63.984375,9211.5005493,1.0,2.0
41,0.9,2.6333333,1583.1497396,1946.451416,-363.3016764,-1.7333333,-1.8055556,-1.1324786,-0.4037094,629.7229058,131988.1080751,0.3333333,0.6666667
42,1.4,3.1,1819.4035238,1672.044637,147.3588867,-1.7,-1.8333333,3.0525031,0.5254804,-250.5101074,21714.6414993,1.0,3.0
43,0.9666667,1.2666667,1552.0061442,1474.8789062,77.127238,-0.3,-0.2277778,0.33488,-2.2356238,-23.1381714,5948.6108364,1.0,0.6666667
44,0.9333333,1.9333333,1697.1704915,1669.4180094,27.7524821,-1.0,-0.5833333,-0.1572039,0.1220238,-27.7524821,770.2002609,1.5,1.0
45,1.5,1.3666667,1614.114502,1548.7884521,65.3260498,0.1333333,-0.9,-0.1157407,-0.557152,8.71014,4267.4927868,0.5,4.0
46,1.4666667,1.1666667,1744.363444,1691.3948161,52.968628,0.3,0.75,-0.847169,-0.2777778,15.8905884,2805.6755487,0.25,1.0
47,0.7666667,1.4666667,1472.3100993,1591.7015381,-119.3914388,-0.7,-0.5,0.0769755,1.7435897,83.5740072,14254.3156587,0.25,2.0
48,0.9,1.7333333,1628.0739339,1798.1406657,-170.0667318,-0.8333333,0.1111111,0.7459046,1.9567343,141.7222765,28922.6932538,0.3333333,1.0
49,1.8666667,1.2666667,1676.6494547,1819.8835449,-143.2340902,0.6,-0.2222222,-1.6880342,-0.9791667,-85.9404541,20516.0045954,0.3333333,2.0
50,2.7666667,1.0333333,1949.5991618,1533.7115478,415.8876139,1.7333333,-0.3888889,2.8268921,-0.1184502,720.8718642,172962.5074232,1.0,3.0
51,1.4333333,1.0,1624.7997233,1697.5812581,-72.7815348,0.4333333,1.0833333,0.1109076,0.3333333,-31.5386651,5297.1518078,1.0,3.0
52,1.3,1.3333333,1712.9685872,1578.9069417,134.0616455,-0.0333333,1.1388889,-1.6039427,0.3303118,-4.4687215,17972.5247942,1.0,1.0
53,2.8,2.5333333,1682.9302978,1734.022054,-51.0917562,0.2666667,0.3333333,-0.2804233,-0.0208903,-13.6244683,2610.3675516,0.5,4.0
54,1.3,0.9333333,1700.1807047,1468.0895996,232.0911051,0.3666667,0.6388889,-0.2211549,0.9869529,85.1000719,53866.281082,1.3333333,3.0
55,2.1333333,2.4333333,1740.9483643,1691.7688395,49.1795248,-0.3,-0.9722222,0.2186949,-0.924799,-14.7538574,2418.6256563,1.0,1.6666667
56,1.2,1.0333333,1693.6259359,1628.5095215,65.1164144,0.1666667,0.0555556,-0.2846743,-1.0582011,10.8527357,4240.14742,1.0,1.5
57,1.3,1.6666667,1536.2993164,1634.3561605,-98.0568441,-0.3666667,0.1388889,-0.6492273,-0.7928105,35.9541762,9615.1446683,0.6666667,0.75
58,2.1333333,1.6666667,1787.2049154,1611.8153076,175.3896077,0.4666667,-0.4444444,0.0859788,-0.2508727,81.8484836,30761.5145009,0.6666667,2.0
59,2.2666667,2.6333333,1742.2417399,1950.9700521,-208.7283122,-0.3666667,0.8111111,-0.1645827,0.5351135,76.5337145,43567.5082999,0.6,1.5
60,0.8666667,1.4,1818.2017416,1717.4650879,100.7366537,-0.5333333,0.0,1.9444444,0.6139601,-53.7262153,10147.873392,1.0,1.0
61,1.4333333,1.5333333,1589.337321,1548.8057454,40.5315755,-0.1,-0.8888889,0.5694444,-0.5787037,-4.0531576,1642.8086152,0.3333333,0.5
62,1.5666667,1.1666667,1576.1346842,1678.9748128,-102.8401286,0.4,0.0,-0.3405018,0.319617,-41.1360514,10576.0920436,1.0,1.0
63,1.6666667,1.7333333,1550.5694987,1710.3335368,-159.7640381,-0.0666667,-1.1666667,0.6222222,-0.9983997,10.6509359,25524.54787,0.3333333,4.0
64,0.6,1.6333333,1468.0714111,1577.2638346,-109.1924235,-1.0333333,0.25,-1.3221966,0.1268116,112.832171,11922.9853498,0.25,0.75
65,0.9,1.6,1613.5818278,1539.3533122,74.2285156,-0.7,-1.0185185,1.0259108,-0.2933007,-51.9599609,5509.8725331,0.1111111,2.0
66,1.1333333,2.3333333,1635.5447184,1783.8276774,-148.282959,-1.2,-2.8055556,0.4593786,-0.2858586,177.9395508,21987.8359199,0.5,9.0
